Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total Releases
1970,8,N/A,N/A,N/A,N/A,13,13,13,13,13,13,13,13
1971,12,13,13,13,13,13,13,13,13,13,13,13,13
1972,11,N/A,13,13,12,13,13,13,13,13,13,13,13
1973,12,13,13,13,13,13,13,13,13,13,13,13,13
1974,12,13,13,13,13,13,13,13,13,13,13,13,13
1975,12,13,13,12,13,13,13,13,13,13,13,13,13
1976,12,13,13,13,13,13,13,13,13,13,13,13,13
1977,12,13,13,13,13,13,13,13,12,13,13,13,13
1978,12,13,13,13,13,13,13,13,13,13,13,13,13
1979,9,13,N/A,13,13,13,N/A,13,13,13,13,13,N/A
1980,10,13,N/A,13,13,13,N/A,13,13,13,13,13,13
1981,8,13,N/A,12,N/A,12,13,N/A,13,13,N/A,13,13
1982,8,13,N/A,13,N/A,13,13,N/A,13,13,N/A,13,13
1983,8,N/A,13,13,N/A,12,N/A,13,13,13,N/A,13,13
1984,8,13,N/A,13,N/A,13,13,N/A,13,13,13,N/A,13
1985,8,13,N/A,13,N/A,13,13,N/A,13,13,13,N/A,13
1986,8,13,N/A,13,N/A,12,13,N/A,13,13,13,N/A,13
1987,8,13,N/A,13,N/A,13,13,N/A,13,13,13,N/A,13
1988,8,13,N/A,13,N/A,12,13,N/A,13,13,13,13,N/A
1989,8,13,N/A,13,N/A,13,13,N/A,13,13,N/A,13,13
1990,8,13,N/A,13,N/A,13,13,N/A,13,13,13,N/A,13
1991,8,13,N/A,13,N/A,13,13,N/A,13,13,13,N/A,13
1992,8,13,N/A,13,N/A,13,13,N/A,13,13,N/A,13,13
1993,8,13,N/A,13,N/A,13,13,N/A,13,13,N/A,13,13
1994,8,13,N/A,13,N/A,13,13,N/A,13,13,N/A,13,13
1995,8,13,N/A,13,N/A,13,13,N/A,13,13,N/A,13,13
1996,8,13,N/A,13,N/A,13,13,N/A,13,13,13,N/A,13
1997,8,13,N/A,13,N/A,13,13,N/A,13,13,13,N/A,13
1998,8,13,N/A,13,N/A,13,13,N/A,13,13,N/A,13,13
1999,8,13,N/A,13,N/A,12,13,N/A,13,13,N/A,13,13
2000,8,13,N/A,13,N/A,13,13,N/A,13,13,N/A,13,13
2001,8,13,N/A,13,N/A,13,13,N/A,13,13,13,13,N/A
2002,8,13,N/A,13,13,N/A,13,13,N/A,13,13,13,N/A
2003,8,13,N/A,13,13,N/A,13,13,N/A,13,13,13,N/A
2004,8,13,N/A,13,13,N/A,13,13,N/A,13,13,N/A,13
2005,8,13,N/A,13,13,N/A,13,13,N/A,13,13,13,N/A
2006,8,13,N/A,13,13,N/A,13,13,N/A,13,13,13,N/A
2007,8,13,N/A,13,13,N/A,13,13,N/A,13,13,13,N/A
2008,8,13,N/A,13,13,N/A,13,13,N/A,12,13,N/A,13
2009,8,13,N/A,13,13,N/A,13,13,N/A,13,13,N/A,13
2010,8,13,N/A,13,13,N/A,13,13,N/A,13,13,N/A,13
2011,8,13,N/A,13,13,N/A,13,13,N/A,13,13,13,N/A
2012,8,13,13,N/A,13,N/A,13,13,13,N/A,13,13,N/A
2013,8,13,N/A,13,13,N/A,13,13,N/A,13,13,N/A,13
2014,8,13,N/A,13,13,N/A,13,13,N/A,13,13,N/A,13
2015,8,13,N/A,13,11,N/A,13,13,N/A,13,13,N/A,13
2016,8,13,N/A,13,11,N/A,12,13,N/A,13,13,13,N/A
2017,8,13,N/A,13,13,13,N/A,13,N/A,13,13,13,N/A
2018,8,13,N/A,13,13,13,N/A,13,N/A,13,13,N/A,13
2019,8,13,N/A,13,13,N/A,13,13,N/A,13,13,13,N/A
2020,8,13,N/A,13,13,13,N/A,13,N/A,13,13,N/A,13
2021,8,13,N/A,13,13,N/A,13,13,N/A,13,13,N/A,13
2022,8,13,N/A,13,13,N/A,13,13,N/A,13,13,13,N/A
2023,8,13,N/A,13,13,13,N/A,13,N/A,13,13,13,N/A

Release missing: 10
Year 1971: 12 releases (expected 8)
Year 1972: 11 releases (expected 8)
Year 1973: 12 releases (expected 8)
Year 1974: 12 releases (expected 8)
Year 1975: 12 releases (expected 8)
Year 1976: 12 releases (expected 8)
Year 1977: 12 releases (expected 8)
Year 1978: 12 releases (expected 8)
Year 1979: 9 releases (expected 8)
Year 1980: 10 releases (expected 8)

Chapter missing 13
"Year 1972, Apr: 12 chapters (expected 13)"
"Year 1975, Mar: 12 chapters (expected 13)"
"Year 1977, Aug: 12 chapters (expected 13)"
"Year 1981, Mar: 12 chapters (expected 13)"
"Year 1981, May: 12 chapters (expected 13)"
"Year 1983, May: 12 chapters (expected 13)"
"Year 1986, May: 12 chapters (expected 13)"
"Year 1988, May: 12 chapters (expected 13)"
"Year 1999, May: 12 chapters (expected 13)"
"Year 2008, Sep: 12 chapters (expected 13)"
"Year 2015, Apr: 11 chapters (expected 13)"
"Year 2016, Apr: 11 chapters (expected 13)"
"Year 2016, Jun: 12 chapters (expected 13)"

Total missing: 23
